audio_path	language	perturbation	severity	reference	hypothesis	latency_s
data/processed/fleurs_perturbed/ar_000__white_noise_snr5.wav	ar	white_noise	5.0	تشكلت في المحيط الأطلسي اليوم عاشر عاصفة مُسماة لموسم الأعاصير الأطلسية العاصفة شبه الاستوائية جيري	 تشكلت الموسيقى الأطلسي اليوم عشر عاصفة مسمية لموسم الأعاصير الأطلسية العاصفة الشبهة الاستوائية جيري	3.806212874000039
data/processed/fleurs_perturbed/ar_000__white_noise_snr10.wav	ar	white_noise	10.0	تشكلت في المحيط الأطلسي اليوم عاشر عاصفة مُسماة لموسم الأعاصير الأطلسية العاصفة شبه الاستوائية جيري	 تشكلت في المحيط الأطلسي اليوم عشر عاصفة مسمى لموسم الأعاصير الأطلسية العاصفة شبه الاستوائية جيري	2.1787480089999463
data/processed/fleurs_perturbed/ar_000__white_noise_snr15.wav	ar	white_noise	15.0	تشكلت في المحيط الأطلسي اليوم عاشر عاصفة مُسماة لموسم الأعاصير الأطلسية العاصفة شبه الاستوائية جيري	 تشكلت في المحيط الأطلسي اليوم عشر عاصفة مسمى لموسم الأعصير الأطلسية العاصفة شبه الاستوائية جيري	1.7266922270000578
data/processed/fleurs_perturbed/ar_000__reverb_room0.1.wav	ar	reverb	0.1	تشكلت في المحيط الأطلسي اليوم عاشر عاصفة مُسماة لموسم الأعاصير الأطلسية العاصفة شبه الاستوائية جيري	 تشكلت في المحيط الأطلسي اليوم عشر عاصفة مسمية لموسم الأعاصير الأطلسية العاصفة الشبه الإسطرائية جاري	1.77098214800003
data/processed/fleurs_perturbed/ar_000__reverb_room0.3.wav	ar	reverb	0.3	تشكلت في المحيط الأطلسي اليوم عاشر عاصفة مُسماة لموسم الأعاصير الأطلسية العاصفة شبه الاستوائية جيري	 تشفقت في المحيط الأطلسي اليوم 10 عاصفة مسمية لمنصة من العاصفة الأطلسية العاصفة شماليستوائي نجيري	1.7917683419998411
data/processed/fleurs_perturbed/ar_000__reverb_room0.5.wav	ar	reverb	0.5	تشكلت في المحيط الأطلسي اليوم عاشر عاصفة مُسماة لموسم الأعاصير الأطلسية العاصفة شبه الاستوائية جيري	 تشتركوا في محيط الاطلاسي اليوم عشر عاصفة مسمى الموسم العاصفة الاطلاسية العاصفة شفرة سوريا ايه جاي	1.7819339619998118
data/processed/fleurs_perturbed/ar_000__clipping_clip0.7.wav	ar	clipping	0.7	تشكلت في المحيط الأطلسي اليوم عاشر عاصفة مُسماة لموسم الأعاصير الأطلسية العاصفة شبه الاستوائية جيري	 تشكلت في المحيط الأطلسي اليوم عشر عاصفة مسمى لموسم الأعاصير الأطلسية العاصفة شبه الاستوائية جيري	1.732174888000145
data/processed/fleurs_perturbed/ar_000__clipping_clip0.5.wav	ar	clipping	0.5	تشكلت في المحيط الأطلسي اليوم عاشر عاصفة مُسماة لموسم الأعاصير الأطلسية العاصفة شبه الاستوائية جيري	 تشكلت في المحيط الأطلسي اليوم عشر عاصفة مسمى لموسم الأعاصير الأطلسية العاصفة شبه الاستوائية جيري	2.2533197120001205
data/processed/fleurs_perturbed/ar_000__clipping_clip0.3.wav	ar	clipping	0.3	تشكلت في المحيط الأطلسي اليوم عاشر عاصفة مُسماة لموسم الأعاصير الأطلسية العاصفة شبه الاستوائية جيري	 تشكلت في المحيط الأطلسي اليوم عشر عاصفة مسمى لموسم الأعاصير الأطلسية العاصفة شبه الاستوائية جري	1.9954280869999366
data/processed/fleurs_perturbed/ar_000__speed_spd0.9.wav	ar	speed	0.9	تشكلت في المحيط الأطلسي اليوم عاشر عاصفة مُسماة لموسم الأعاصير الأطلسية العاصفة شبه الاستوائية جيري	 تشكلت في المحيط الأطلسي اليوم عشر عصيفة مسمية لموسم الأعصير الأطلسية العصيفة الشمالي-سكوائية جيري	1.840819422000095
