audio_path,reference,hypothesis,latency_s,language
data\raw\fleurs_subset\ar_000.wav,تشكلت في المحيط الأطلسي اليوم عاشر عاصفة مُسماة لموسم الأعاصير الأطلسية العاصفة شبه الاستوائية جيري, تشكتلت في المحيد الأطلس اليوم عشر عاصفة مسمال مسم الأعاصير الأطلسية العاصفة شبه للستوائية جري,7.589668999993592,000
data\raw\fleurs_subset\ar_001.wav,تغادر الحافلات المحطة الداخلية بين المناطق عبر النهر في خلال اليوم على الرغم من أن معظمها وخاصة المتجهة منها إلى الشرق وجاكار/بومثانج تغادر بين 06:30 و 07:30, تغادر حافلة المحاطة دخلية بين المنوتق عبر النهر في خلال اليوم على الارغم من أنم عظمها وخصة المتجه منها إلى الشرق وجكارة بومثنج تغادر بين 6 37,7.344391799997538,001
data\raw\fleurs_subset\ar_002.wav,يتمُّ دعم التعلُّم التفاعليّ في البرنامج داخليًا ويهدف إلى طرح الأسئلة والتحفيز وشرح الإجراءاتِ التي قد يكون من الصعب على الطالب التعامل معها بمفرده, يتم مدعم التعالوم التفاعلية في البرنامج داخليا ويهدف إلى طرح الأسئلة والتحفظ وشرح الإجراءات التي قد يكون من الصعب على الطلب التعام الماء بمفرده,8.058124400005909,002
data\raw\fleurs_subset\ar_003.wav,نصنع بيوتنا وملابسنا من النباتات . معظم الطعام الذي نتناوله من النباتات كذلك. بدون النباتات، لا يمكن للحيوانات البقاء, نصنع بيوتنا وملبي سنامن النباتات موزم الطعمة الذين تنولهم من النباتات كذلك بدون النباتات لا يمكن الحيوانات البقاء,6.721814099990297,003
data\raw\fleurs_subset\ar_004.wav,إن عرض الصوت والضوء الهرمي واحد من أمتع الأشياء الموجودة بالمنطقة للأطفال, إن عرض الصوت والضوع الحرمي واحدة من أمتع الأشياء الموجودة بالمنطقة للأطفال,5.627869100004318,004
data\raw\fleurs_subset\ar_005.wav,تذكر أنه على الرغم من أن الموسيقى في المنصات الرئيسية قد تكون انتهت إلا أن هناك أقسام من المهرجان قد تستمر في تشغيل الموسيقى حتى وقت متأخر من الليل, تذكر أنه على الرغم من أن الموسيقى في المنصطة الرئيسية قد تكون انتهت إلا أن هناك أقسام من المهرى جان قد تستمر في تشغيل الموسيقى حتى وقت متأفر من الليل,7.6682743999990635,005
data\raw\fleurs_subset\ar_006.wav,أدى ضاربا الكرة المتمركزين في الوسط ساشين تيندولكار وراهول درافيد جيدًا وأقاما شراكة أكسبت للفريق مائة نقطة, أدى ضارب الكورة المتمركزين في الوستطس شين تند القار ورهول درافيد جيدا مع قام شركة أكسوة الفاريق مئة نقطة,6.843108900007792,006
data\raw\fleurs_subset\ar_007.wav,ومنذ عام 1988 توجّب أن تكون صناديق الاقتراع شفافة بحيث يمكن للناخبين والمراقبين أن يتأكدوا من عدم وجود مغلفات في بداية التصويت وأنه لا يتم إضافة مغلفات إلا مغلفات الناخبين المسجلين والمصرّح لهم حسب الأصول والمفوضين, كونزعام الفتصعمية 880 توجب أن تكون صنطيق الاقترع شفافة بحيث يمكن للناخبين والمراقبين أن يتأكد من عدم موجود مغلفات في بداية التصويد وأنه لا يتم إضافة مغلفات إلا مغلفات الناخبين المسجلين والمصرح لهم حسب الأصول والمفوضين,8.63238700000511,007
data\raw\fleurs_subset\ar_008.wav,قبل وصول القوات لم تواجه هايتي مشاكل متعلقة بالمرض منذ القرن التاسع عشر, قبل وصورك وات، لم توجه حي تمشيك المتعلق بالماض منظر كنة تساش,6.45797859999584,008
data\raw\fleurs_subset\ar_009.wav,بصفته رياضيّاً شاملاً، يمكن للنّمر التّسلق وإن لم يكن ذلك بشكلٍ جيد والسّباحة والقفز لمسافاتٍ طويلةٍ والسّحب بقوّة خمسة أضعاف قوّة الإنسان, بسفط رياضيًا شاملة يمكن للنمر التصلق وإن لم يكن زالك بشكل جيد والسباحة والقفز لما سفت طويلة والسحب بقوة خمسة أضعاف قوية الإنسان,8.17688569999882,009
data\raw\fleurs_subset\ar_010.wav,في حال كنت تعبر منطقة بحر البلطيق الشمالية في الشتاء فيجب أن تفحص موقع الكابينة إذ أن المرور عبر الجليد يسبب ضوضاء صاخبة للغاية للأشخاص الأكثر تضرراً, في حال كنت تعبر من تقد بحر البلتيط الشمالية في الشتاء فاياق بأن تفحص موقع الكبينة إذا أن المرورة عبر الجليد يسبب دوضوع صغبة للغاية للأشخاص الأقصار تضررون,7.182152400011546,010
data\raw\fleurs_subset\ar_011.wav,أُرسل القمر الصناعي إلى الفضاء بواسطة صاروخ يستخدم العلماء التلسكوبات في الفضاء لأن الغلاف الجوي لكوكب الأرض يشوه بعض الضوء والرؤية, ارسل القمر الصنوع إلى الفضائب واصة تصاروخ يستغدم العلماء التليسكوبات في الفضائل أن الغلاف الجويل كوك بالأرض يشعوه بعض الضوء والرؤية,6.2486166000016965,011
data\raw\fleurs_subset\ar_012.wav,بصفة عامة، يمكن أن يظهر سلوكان عندما يبدأ المديرون في قيادة أقرانهم السابقين أحدهما هو محاولة البقاء مثل الآخرين أو الأخريات, بصف عام ما يمكن أن يظهر سلو كان عندما يبدأ المدورون في قيادة أقرانهم الصابقين أحدهم هو محاولة البقاء مثل الآخرين أو الأخرى,5.916911399996025,012
data\raw\fleurs_subset\ar_013.wav,يتصاعد من المصنع دخاناً أبيض وهذا ما أظهرته تقارير تلفزيونية, يتصعد من المصنع دخلناً أبيد وهذا ماي أزهرت وتقارير تلفزيونية,4.5374865000048885,013
data\raw\fleurs_subset\ar_014.wav,يمكنك أن تسمع صوت السيّاح والبائعين هنا دائماً عادةً فقصة الصوت والضوء تشبه قصة كتابٍ, يمكنك عن تسمع سوت السياح والبائيين هنا دائماً عادة فقصة السوت ودو تشبه قصة كتاب,4.476064799993765,014
data\raw\fleurs_subset\ar_015.wav,لكن بسبب موقعها القريب من المناطق الاستوائية ببضع درجات فقط شمال الخط الاستوائي، فأنتم بحاجة للتعامل مع كلاهما: الحرارة العالية المستمرة والشمس اللافحة وذلك نادراً عندما تكون السماء صافية, لكن بسبب مقاه القريب من المناطق الاستوائية ببدع درجات فقط شمال خط الاستوائي فانتوا بحجل التعامل معك لاهما الحرارة العليل مستمر و الشمس اللافحة وزالي كان يديرا عندما تكون السماق صافيه,6.630321599994204,015
