root	language	perturbation	severity	wer_sample	reference	hypothesis
fr_064	fr	reverb	0.5	8.68	en 1990 il a été ajouté à la liste des sites du patrimoine mondial en danger en raison de la menace des sables du désert	 Au lieu de se faire tomber, on a eu quitter l'intérieur de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la
fr_031	fr	white_noise	15.0	6.636363636363637	aux femmes il est recommandé à toute femme qui voyage de dire qu'elle est mariée quel que soit son état civil	 Il est recommandé à toute femme qui voyage de 10 à 20 milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de mill
ar_000	ar	reverb	0.5	3.8	تشكلت في المحيط الأطلسي اليوم عاشر عاصفة مُسماة لموسم الأعاصير الأطلسية العاصفة شبه الاستوائية جيري	 تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت ت
fr_058	fr	white_noise	5.0	3.5238095238095237	tous les noms suivis du mot sie qui signifie vous commencent toujours par une majuscule même au milieu d'une phrase	 Tous les noms, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Su
fr_045	fr	reverb	0.5	2.0	rolando mendoza tira avec son fusil m16 sur les touristes	 Quand on a des choses à faire, on fait qu'il y a des choses sur lesquelles on doit se faire.
fr_024	fr	white_noise	5.0	1.5714285714285714	martelly a intronisé hier un nouveau conseil électoral provisoire cep composé de neuf membres	 La fin de la vidéo est terminée, j'espère que vous avez apprécié la vidéo et que vous avez apprécié la vidéo.
fr_061	fr	white_noise	5.0	1.5	d'après le u.s. corps of engineers une pluviométrie de 6 pouces pourrait ouvrir une brèche dans les digues précédemment endommagées	 Et là il est tout à l'heure enjoué, à son tour il me fait des cibouces pour lui aider à me faire aller du coup qu'il a mal à me faire.
fr_072	fr	reverb	0.5	1.2857142857142858	les lions sont les chats les plus sociables vivant en grands groupes appelés meutes	 Il est possible que ce soit un peu plus simple, mais on a besoin de faire de l'argent.
ar_028	ar	reverb	0.5	1.1666666666666667	فكر في مسار التزلج على الجليد باعتباره مسارًا مماثل للمشي لمسافات طويلة	 كيف بصارة تزامب عال الدليل بل تضالين بصارة من بيتر بلمشي من سفات انتبه
fr_026	fr	reverb	0.5	1.1379310344827587	les plantes revêtent leur plus belle apparence lorsqu'elles se trouvent dans un environnement naturel alors résistez à la tentation d'en retirer ne serait-ce qu'« une seule »	 Il est bon de révéler ce qu'on peut dire de bonnes choses, mais c'est aussi important de se mettre en action. On est très attentifs à notre civilisation, à notre ressource culturelle.
