audio_path,language,reference,hypothesis,latency_s
data/raw/fleurs_subset/en_000.wav,en,however due to the slow communication channels styles in the west could lag behind by 25 to 30 year," However, due to the slow communication channels, styles in the West could lag behind by 25 to 30 years.",2.716767783999956
data/raw/fleurs_subset/en_001.wav,en,all nouns alongside the word sie for you always begin with a capital letter even in the middle of a sentence, All nouns alongside the world say for you always begin with a capital letter even in the middle of a sentence.,0.9555162620000032
data/raw/fleurs_subset/en_002.wav,en,to the north and within easy reach is the romantic and fascinating town of sintra and which was made famous to foreigners after a glowing account of its splendours recorded by lord byron, To the north and within easy reach is the romantic and fascinating town of Sintra and which was made famous to foreigners after a glowing account of its splendors recorded by Lord Byron.,1.695286397000018
data/raw/fleurs_subset/en_003.wav,en,the cabbage juice changes color depending on how acidic or basic alkaline the chemical is," The cabbage juice changes color depending on how acidic, basic, alkaline the chemical is.",0.7687596790000271
data/raw/fleurs_subset/en_004.wav,en,many people don't think about them as dinosaurs because they have feathers and can fly, Many people don't think about them as dinosaurs because they have feathers and can fly.,0.7034432359999983
data/raw/fleurs_subset/en_005.wav,en,the hospital has followed protocol for infection control including separating the patient from others to prevent possible infection of others," The hospital has followed protocol for infection control, including separating the patient from others to prevent possible infection of others.",0.8506867440000292
data/raw/fleurs_subset/en_006.wav,en,the northern marianas emergency management office said that there were no damages reported in the nation, The Northern Marianas Emergency Management Office said that there were no damages reported in the nation.,0.6945947550000255
data/raw/fleurs_subset/en_007.wav,en,twentieth century research has shown that there are two pools of genetic variation hidden and expressed, 20th century research has shown that there are two pools of genetic variation hidden and expressed.,0.7033990759999824
data/raw/fleurs_subset/en_008.wav,en,the aspect ratio of this format dividing by twelve to obtain the simplest whole-number ratio is therefore said to be 3:2," The aspect ratio of this format, dividing by 12 to obtain the simplest whole number ratio, is therefore set to be free to two.",0.992204868999977
data/raw/fleurs_subset/en_009.wav,en,as light pollution in their heyday was not the kind of problem it is today they are usually located in cities or at campuses easier to reach than those built in modern times," As light pollution in their heyday was not the kind of problem it is today, they are usually located in cities or at campuses easier to reach than those built in modern times.",1.2662549230000195
data/raw/fleurs_subset/en_010.wav,en,through the night between 150 and 200 copies were made now known as dunlap broadsides," Through the night, between 150 and 200 copies were made, now known as Dunlap broadsides.",0.8274081019999926
data/raw/fleurs_subset/en_011.wav,en,for example each year students from bennet school in north carolina design a website about their trip to the state capital each year the website gets remodeled but old versions are kept online to serve as a scrapbook," For example, each year students from Bennett School in North Carolina design a website about their trip to the state capitol. Each year the website gets remodeled, but old versions are kept online to serve as a scrapbook.",1.579600475999996
data/raw/fleurs_subset/en_012.wav,en,lion prides act much like packs of wolves or dogs animals surprisingly similar to lions but not other big cats in behavior and also very deadly to their prey," Lion prize acts much like packs of wolves or dogs, animals surprisingly similar to lions, but not other big cats in behavior and also very deadly to their prey.",4.42202159499999
data/raw/fleurs_subset/en_013.wav,en,the city is also the base to climb the nyiragongo volcano along with some of the cheapest mountain gorilla tracking in africa, The city is also the base to climb the Nairaigongo volcano along with some of the cheapest mountain gorilla trafficking in Africa.,3.185088434999954
data/raw/fleurs_subset/en_014.wav,en,the internet combines elements of both mass and interpersonal communication, The Internet combines elements of both mass and interpersonal communication.,0.5041977189999898
data/raw/fleurs_subset/en_015.wav,en,these theories look at what it is about certain people that make them want the things that they do and what things in their environment will make them do or not do certain things, These movies look at what it is about certain people that make them want the things that they do and what things in their environment will make them do or not do certain things.,1.207525923999981
data/raw/fleurs_subset/en_016.wav,en,for example the most common still image photography format in the world is 35mm which was the dominant film size at the close of the analog film era," For example, the most common still image photography format in the world is 35mm, which was the dominant film size at the close of the analog film era.",1.1202780090000033
data/raw/fleurs_subset/en_017.wav,en,the term safari in popular use refers to overland travel to view the stunning african wildlife particularly on savanna," The term safari in popular news refers to overland travel to view the stunning African wildlife, particularly on Savannah.",0.8425010020000059
data/raw/fleurs_subset/en_018.wav,en,but there are a lot of things about birds that still look like a dinosaur, But there are a lot of things about birds that still look like a dinosaur.,0.6432502709999994
data/raw/fleurs_subset/en_019.wav,en,women it is recommended that any women travellers say that they are married regardless of actual marital status, Women. It is recommended that any women travelers say that they are married regardless of actual marital status.,0.814692210999965
data/raw/fleurs_subset/en_020.wav,en,in some areas boiling water for a minute is enough in others several minutes are needed," In some areas, boiling water for a minute is enough and other several minutes are needed.",0.7230911190000029
data/raw/fleurs_subset/en_021.wav,en,anyone who's going to drive at high latitudes or over mountain passes should consider the possibility of snow ice or freezing temperatures," Anyone who's going to drive at hot latitudes or over mountain passes should consider the possibility of snow, ice, or freezing temperatures.",0.9907522029999996
data/raw/fleurs_subset/en_022.wav,en,as a result two fish species have become extinct and two others have become endangered including the humpback chub," As a result, two fish species have become extinct and two others have become endangered, including the humpback chub.",1.1350980519999894
data/raw/fleurs_subset/en_023.wav,en,it was ruled by the vichy french these were french people who had made peace with the germans in 1940 and worked with the invaders instead of fighting them, It was ruled by the Vicky French. These were French people who had made peace with the Germans in 1940 and worked with the invaders instead of fighting them.,1.5592645230000244
data/raw/fleurs_subset/en_024.wav,en,on 15 august 1940 the allies invaded southern france the invasion was called operation dragoon," On August 15, 1940, the Allies invaded southern France and the invasion was called Operation Dragoon.",0.8216236229999936
data/raw/fleurs_subset/en_025.wav,en,alloys are basically a mixture of two or more metals don't forget that there are many elements on the periodic table, Alloys are basically a mixture of two or more metals. Don't forget there are many elements on the periodic table.,0.9052492339999958
data/raw/fleurs_subset/en_026.wav,en,for example each year students from bennet school in north carolina design a website about their trip to the state capital each year the website gets remodeled but old versions are kept online to serve as a scrapbook," For example, each year students from Bennett School in North Carolina design a website about their trip to the state capitol. Each year the website gets remodeled, but older versions are kept online to serve as a scrapbook.",1.5488656470000135
data/raw/fleurs_subset/en_027.wav,en,his work is of such recognized quality and detail that he is one of the very few household names among philatelists some specialize in collecting his work alone, his work is of such recognized quality and detail that he is one of the very few household names among philatelists some specialize in collecting his work alone,1.1296732430000134
data/raw/fleurs_subset/en_028.wav,en,danielle lantagne a un expert on the disease stated the outbreak was likely caused by the peacekeepers," Danielle Lantagui, a UN expert on the disease, stated that outbreak was likely caused by the peacekeepers.",0.8677624649999984
data/raw/fleurs_subset/en_029.wav,en,the other nominations include best picture director cinematography costume design film-editing original score production design sound editing sound mixing and original screenplay," The other nominations include Best Picture, Director of Cinematography, Costume Design, Film Editing, Original Score, Production Design, Sound Editing, Sound Mixing, and Original Screenplay.",1.349467087999983
data/raw/fleurs_subset/en_030.wav,en,virtual teams are held to the same standards of excellence as conventional teams but there are subtle differences," Ritual teens are held to the same standard of excellence as conventional teens, but there are subtle differences.",0.8531816400000025
data/raw/fleurs_subset/en_031.wav,en,in the north the region is bounded by the sahel and in the south and west by the atlantic ocean," In the north, the region is bounded by the Sahel and in the south and west by the Atlantic Ocean.",0.8571330209999815
data/raw/fleurs_subset/en_032.wav,en,a well rounded athlete the tiger can climb though not well swim leap great distances and pull with five times the force of a strong human," A well-rounded athlete, the tiger can climb, though not well, swim, leap great distances, and pull with five times the force of a strong human.",1.158003533999988
data/raw/fleurs_subset/en_033.wav,en,he was subsequently relocated to addenbrooke's hospital in cambridge, He was subsequently relocated to Addenbrooke's Hospital in Cambridge.,0.7760466080000015
data/raw/fleurs_subset/en_034.wav,en,the pyramid sound and light show is one of the most interesting things in the area for kids, The Pyramid Sound and Light Show is one of the most interesting things in the area for kids.,1.0167958239999848
data/raw/fleurs_subset/en_035.wav,en,due to the underwater topology the return flow is concentrated at a few deeper sections and a fast current to deep water may form there," Due to the underwater topology, the return flow is concentrated at a few deeper sections and a fast current to deep water may form there.",1.227527785999996
data/raw/fleurs_subset/en_036.wav,en,the crash occurred high up in mountainous terrain and is believed to have been the result of hostile fire, The crash occurred high up in mountainous terrain and is believed to have been the result of hostile fire.,0.8176476689999959
data/raw/fleurs_subset/en_037.wav,en,blogs can also help improve student writing while students often begin their blog experience with sloppy grammar and spelling the presence of an audience generally changes that," Blogs can also help improve student writing. While students often begin their blog experience with sloppy grammar and spelling, the presence of an audience generally changes that.",1.1239641430000231
