audio_path	language	perturbation	severity	reference	hypothesis	latency_s
data/processed/fleurs_perturbed/ar_000__white_noise_snr5.wav	ar	white_noise	5.0	تشكلت في المحيط الأطلسي اليوم عاشر عاصفة مُسماة لموسم الأعاصير الأطلسية العاصفة شبه الاستوائية جيري	 تشكلت في المكتب الأطلسي اليوم عاشر عطفة مسمى لمنسم الأعطير الأطلسية العطفة شبه للتوائية جاري	2.97139964400003
data/processed/fleurs_perturbed/ar_000__white_noise_snr10.wav	ar	white_noise	10.0	تشكلت في المحيط الأطلسي اليوم عاشر عاصفة مُسماة لموسم الأعاصير الأطلسية العاصفة شبه الاستوائية جيري	 تشكلت في المخيف الأطلسي اليوم 10 عاصفة مسمى لموسم الأعصير الأطلسية العاصفة شبه لكتوائية جري	1.2742221789999348
data/processed/fleurs_perturbed/ar_000__white_noise_snr15.wav	ar	white_noise	15.0	تشكلت في المحيط الأطلسي اليوم عاشر عاصفة مُسماة لموسم الأعاصير الأطلسية العاصفة شبه الاستوائية جيري	 تشكلت في المحيط الأطلسي اليوم 10 عصفة مسمى لموسم الأعصير الأطلسية العصفة شبه الستوائية جيري	1.3064907560001302
data/processed/fleurs_perturbed/ar_000__reverb_room0.1.wav	ar	reverb	0.1	تشكلت في المحيط الأطلسي اليوم عاشر عاصفة مُسماة لموسم الأعاصير الأطلسية العاصفة شبه الاستوائية جيري	 تشكلت في المحيط الأطلسي اليوم 10 عصفة مسمى لموسم الأعصير الأطلسية العصفة شبه الاستوائية جري	1.2647080439999172
data/processed/fleurs_perturbed/ar_000__reverb_room0.3.wav	ar	reverb	0.3	تشكلت في المحيط الأطلسي اليوم عاشر عاصفة مُسماة لموسم الأعاصير الأطلسية العاصفة شبه الاستوائية جيري	 تشكرك في المحيط الأطلسي اليوم 10 عصيرا مسمية لنصم العصير الأطلسي العصير 20 لاستوائيليا جريب	1.53414811499988
data/processed/fleurs_perturbed/ar_000__reverb_room0.5.wav	ar	reverb	0.5	تشكلت في المحيط الأطلسي اليوم عاشر عاصفة مُسماة لموسم الأعاصير الأطلسية العاصفة شبه الاستوائية جيري	 تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت ت	6.082778542999904
data/processed/fleurs_perturbed/ar_000__clipping_clip0.7.wav	ar	clipping	0.7	تشكلت في المحيط الأطلسي اليوم عاشر عاصفة مُسماة لموسم الأعاصير الأطلسية العاصفة شبه الاستوائية جيري	 تشكلت في المحيط الأطلسي اليوم 10 عاصفة مسمى لموسم الأعصير الأطلسية العاصفة شبه الاستوائية جيري	1.2991584879998754
data/processed/fleurs_perturbed/ar_000__clipping_clip0.5.wav	ar	clipping	0.5	تشكلت في المحيط الأطلسي اليوم عاشر عاصفة مُسماة لموسم الأعاصير الأطلسية العاصفة شبه الاستوائية جيري	 تشكلت في المحيط الأطلسي اليوم 10 عاصفة مسمى لموسم الأعصير الأطلسية العاصفة شبه الاستوائية جري	1.2758102200000394
data/processed/fleurs_perturbed/ar_000__clipping_clip0.3.wav	ar	clipping	0.3	تشكلت في المحيط الأطلسي اليوم عاشر عاصفة مُسماة لموسم الأعاصير الأطلسية العاصفة شبه الاستوائية جيري	 تشكلت في المحيط الأطلسي اليوم عيش العاصفة مسمى لموسم الأعصير الأطلسية العاصفة شبه الإصطواقية جري	1.3469593699999225
data/processed/fleurs_perturbed/ar_000__speed_spd0.9.wav	ar	speed	0.9	تشكلت في المحيط الأطلسي اليوم عاشر عاصفة مُسماة لموسم الأعاصير الأطلسية العاصفة شبه الاستوائية جيري	 تشكّلت في المحيط الأطلسي اليوم عيش العصيفة مسمى لموسم العصير الأطلسية العصيفة الشمال الإسطلاقي الجري	1.3345011330000034
