audio_path	language	perturbation	severity	reference	hypothesis	latency_s	wer_sample	cer_sample	category	root	ref_len	hyp_len	len_ratio
data/processed/fleurs_perturbed/fr_064__reverb_room0.5.wav	fr	reverb	0.5	en 1990 il a été ajouté à la liste des sites du patrimoine mondial en danger en raison de la menace des sables du désert	 Au lieu de se faire tomber, on a eu quitter l'intérieur de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la ville de la	5.87465855299979	8.68	6.816666666666666	⚫ Catastrophique	fr_064	25	221	8.84
data/processed/fleurs_perturbed/fr_031__white_noise_snr15.wav	fr	white_noise	15.0	aux femmes il est recommandé à toute femme qui voyage de dire qu'elle est mariée quel que soit son état civil	 Il est recommandé à toute femme qui voyage de 10 à 20 milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de milliers de mill	5.072080421999999	6.636363636363637	7.5963302752293576	⚫ Catastrophique	fr_031	22	153	6.954545454545454
data/processed/fleurs_perturbed/ar_000__reverb_room0.5.wav	ar	reverb	0.5	تشكلت في المحيط الأطلسي اليوم عاشر عاصفة مُسماة لموسم الأعاصير الأطلسية العاصفة شبه الاستوائية جيري	 تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت تشتت ت	6.082778542999904	3.8	2.6363636363636362	⚫ Catastrophique	ar_000	15	57	3.8
data/processed/fleurs_perturbed/fr_058__white_noise_snr5.wav	fr	white_noise	5.0	tous les noms suivis du mot sie qui signifie vous commencent toujours par une majuscule même au milieu d'une phrase	 Tous les noms, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Suji, Su	5.843373736999638	3.5238095238095237	2.773913043478261	⚫ Catastrophique	fr_058	21	77	3.6666666666666665
data/processed/fleurs_perturbed/fr_045__reverb_room0.5.wav	fr	reverb	0.5	rolando mendoza tira avec son fusil m16 sur les touristes	 Quand on a des choses à faire, on fait qu'il y a des choses sur lesquelles on doit se faire.	0.7161495059999652	2.0	1.1228070175438596	⚫ Catastrophique	fr_045	10	21	2.1
data/processed/fleurs_perturbed/fr_024__white_noise_snr5.wav	fr	white_noise	5.0	martelly a intronisé hier un nouveau conseil électoral provisoire cep composé de neuf membres	 La fin de la vidéo est terminée, j'espère que vous avez apprécié la vidéo et que vous avez apprécié la vidéo.	0.8110178499991889	1.5714285714285714	0.8924731182795699	⚫ Catastrophique	fr_024	14	22	1.5714285714285714
data/processed/fleurs_perturbed/fr_061__white_noise_snr5.wav	fr	white_noise	5.0	d'après le u.s. corps of engineers une pluviométrie de 6 pouces pourrait ouvrir une brèche dans les digues précédemment endommagées	 Et là il est tout à l'heure enjoué, à son tour il me fait des cibouces pour lui aider à me faire aller du coup qu'il a mal à me faire.	1.200372446000074	1.5	0.7307692307692307	⚫ Catastrophique	fr_061	22	33	1.5
data/processed/fleurs_perturbed/fr_072__reverb_room0.5.wav	fr	reverb	0.5	les lions sont les chats les plus sociables vivant en grands groupes appelés meutes	 Il est possible que ce soit un peu plus simple, mais on a besoin de faire de l'argent.	0.8889480099996945	1.2857142857142858	0.7228915662650602	⚫ Catastrophique	fr_072	14	19	1.3571428571428572
data/processed/fleurs_perturbed/ar_028__reverb_room0.5.wav	ar	reverb	0.5	فكر في مسار التزلج على الجليد باعتباره مسارًا مماثل للمشي لمسافات طويلة	 كيف بصارة تزامب عال الدليل بل تضالين بصارة من بيتر بلمشي من سفات انتبه	1.0556261280000854	1.1666666666666667	0.5915492957746479	⚫ Catastrophique	ar_028	12	14	1.1666666666666667
data/processed/fleurs_perturbed/fr_026__reverb_room0.5.wav	fr	reverb	0.5	les plantes revêtent leur plus belle apparence lorsqu'elles se trouvent dans un environnement naturel alors résistez à la tentation d'en retirer ne serait-ce qu'« une seule »	 Il est bon de révéler ce qu'on peut dire de bonnes choses, mais c'est aussi important de se mettre en action. On est très attentifs à notre civilisation, à notre ressource culturelle.	1.2461835630001588	1.1379310344827587	0.7352941176470589	⚫ Catastrophique	fr_026	29	34	1.1724137931034482
