audio_path,language,reference,hypothesis,latency_s
data/raw/fleurs_subset/en_000.wav,en,however due to the slow communication channels styles in the west could lag behind by 25 to 30 year," However, due to the slow communication channels, styles in the West could lag behind by 25 to 30 years.",2.708573695000041
data/raw/fleurs_subset/en_001.wav,en,all nouns alongside the word sie for you always begin with a capital letter even in the middle of a sentence, All nouns alongside the word SAFE for you always begin with a capital letter even in the middle of a sentence.,0.8911700410000094
data/raw/fleurs_subset/en_002.wav,en,to the north and within easy reach is the romantic and fascinating town of sintra and which was made famous to foreigners after a glowing account of its splendours recorded by lord byron, To the north and within easy reach is the romantic and fascinating town of Sintra and which was made famous to foreigners after a glowing account of its splendors recorded by Lord Byron.,1.2286268279999604
data/raw/fleurs_subset/en_003.wav,en,the cabbage juice changes color depending on how acidic or basic alkaline the chemical is," The Cabbage Juice changes color depending on how acidic, basic, alkaline the chemical is.",0.7895483250000552
data/raw/fleurs_subset/en_004.wav,en,many people don't think about them as dinosaurs because they have feathers and can fly, Many people don't think about them as dinosaurs because they have feathers and can fly.,0.7526232079999318
data/raw/fleurs_subset/en_005.wav,en,the hospital has followed protocol for infection control including separating the patient from others to prevent possible infection of others, The hospital has followed protocol for infection control including separating the patient from others to prevent possible infection of others.,0.8516184280000516
data/raw/fleurs_subset/en_006.wav,en,the northern marianas emergency management office said that there were no damages reported in the nation, The Northern Marianas Emergency Management Office said that there were no damages reported in the nation.,0.7894430650000004
data/raw/fleurs_subset/en_007.wav,en,twentieth century research has shown that there are two pools of genetic variation hidden and expressed, 20th century research has shown that there are two pools of genetic variation hidden and expressed.,0.7746569930000078
data/raw/fleurs_subset/en_008.wav,en,the aspect ratio of this format dividing by twelve to obtain the simplest whole-number ratio is therefore said to be 3:2," The aspect ratio of this format, dividing by 12 to obtain the simplest whole number ratio, is therefore set to be 3 to 2.",0.9705113960000062
data/raw/fleurs_subset/en_009.wav,en,as light pollution in their heyday was not the kind of problem it is today they are usually located in cities or at campuses easier to reach than those built in modern times," As light pollution in their heyday was not the kind of problem it is today, they are usually located in cities or at campuses easier to reach than those built in modern times.",1.1962486900000613
data/raw/fleurs_subset/en_010.wav,en,through the night between 150 and 200 copies were made now known as dunlap broadsides, For the night between 150 and 200 copies were made now known as Dunlap broadsides.,0.8300258589999885
data/raw/fleurs_subset/en_011.wav,en,for example each year students from bennet school in north carolina design a website about their trip to the state capital each year the website gets remodeled but old versions are kept online to serve as a scrapbook," For example, each year students from Bennett School in North Carolina design a website about their trip to the state capitol. Each year the website gets remodeled, but old versions are kept online to serve as a scrapbook.",4.094710405000001
data/raw/fleurs_subset/en_012.wav,en,lion prides act much like packs of wolves or dogs animals surprisingly similar to lions but not other big cats in behavior and also very deadly to their prey," Lion Pryes acts much like packs of wolves or dogs, animals surprisingly similar to lions but not other big cats in behavior and also very deadly to their prey.",3.1934951020000426
data/raw/fleurs_subset/en_013.wav,en,the city is also the base to climb the nyiragongo volcano along with some of the cheapest mountain gorilla tracking in africa, The city is also the base to climb the Nyirai-Gongo volcano along with some of the cheapest mountain gorilla trafficking in Africa.,2.9953537220000044
data/raw/fleurs_subset/en_014.wav,en,the internet combines elements of both mass and interpersonal communication, The internet combines elements of both mass and interpersonal communication.,1.5099936500000697
data/raw/fleurs_subset/en_015.wav,en,these theories look at what it is about certain people that make them want the things that they do and what things in their environment will make them do or not do certain things, These videos look at what it is about certain people that make them want the things that they do and what things in their environment will make them do or not do certain things.,3.637577284000031
data/raw/fleurs_subset/en_016.wav,en,for example the most common still image photography format in the world is 35mm which was the dominant film size at the close of the analog film era," For example, the most common still image photography format in the world is 35mm, which was the dominant film size at the close of the analog film era.",1.0935031799999706
data/raw/fleurs_subset/en_017.wav,en,the term safari in popular use refers to overland travel to view the stunning african wildlife particularly on savanna," The term safari in popular loose refers to overland travel to view the stunning African wildlife, particularly on savanna.",0.9125557520000028
data/raw/fleurs_subset/en_018.wav,en,but there are a lot of things about birds that still look like a dinosaur, But there are a lot of things about birds that still look like a dinosaur.,0.7117045510000253
data/raw/fleurs_subset/en_019.wav,en,women it is recommended that any women travellers say that they are married regardless of actual marital status, Women. It is recommended that any women travelers say that they are married regardless of actual marital status.,0.8717791009999019
data/raw/fleurs_subset/en_020.wav,en,in some areas boiling water for a minute is enough in others several minutes are needed," In some areas, boiling water for a minute is enough and other several minutes are needed.",0.7494112709999854
data/raw/fleurs_subset/en_021.wav,en,anyone who's going to drive at high latitudes or over mountain passes should consider the possibility of snow ice or freezing temperatures," Anyone who is going to drive at hot latitudes or over mountain passes should consider the possibility of snow, ice, or freezing temperatures.",0.9936035289999836
data/raw/fleurs_subset/en_022.wav,en,as a result two fish species have become extinct and two others have become endangered including the humpback chub," As a result, two fish species have become extinct and two others have become endangered, including the humpback chub.",0.9202285510000364
data/raw/fleurs_subset/en_023.wav,en,it was ruled by the vichy french these were french people who had made peace with the germans in 1940 and worked with the invaders instead of fighting them, It was ruled by the Vicky French. These were French people who had made peace with the Germans in 1940 and worked with the invaders instead of fighting them.,1.11974168200004
data/raw/fleurs_subset/en_024.wav,en,on 15 august 1940 the allies invaded southern france the invasion was called operation dragoon," On August 15, 1940, the Allies invaded southern France and the invasion was called Operation Dragoon.",0.8546766020000405
data/raw/fleurs_subset/en_025.wav,en,alloys are basically a mixture of two or more metals don't forget that there are many elements on the periodic table, Alloys are basically a mixture of two or more metals. Don't forget there are many elements on the PRI table.,0.9166511079999964
data/raw/fleurs_subset/en_026.wav,en,for example each year students from bennet school in north carolina design a website about their trip to the state capital each year the website gets remodeled but old versions are kept online to serve as a scrapbook," For example, each year students from Bennett School in North Carolina design a website about their trip to the state capitol. Each year the website gets remodeled, but older versions are kept online to serve as a scrapbook.",1.6657630519999884
data/raw/fleurs_subset/en_027.wav,en,his work is of such recognized quality and detail that he is one of the very few household names among philatelists some specialize in collecting his work alone, His work is of such recognized quality and detail that he is one of the very few household names among Philatelists. Sons specialize in collecting his work alone.,1.504819346999966
data/raw/fleurs_subset/en_028.wav,en,danielle lantagne a un expert on the disease stated the outbreak was likely caused by the peacekeepers," Danielle Lantegui, a UN expert on the disease, stated that outbreak was likely caused by the peacekeepers.",0.9319552279999924
data/raw/fleurs_subset/en_029.wav,en,the other nominations include best picture director cinematography costume design film-editing original score production design sound editing sound mixing and original screenplay," The other nominations include Best Picture, Director, Cinematography, Cosmetic Design, Film Editing, Original Score, Production Design, Sound Editing, Sound Mixing, and Original Screenplay.",1.3138158909999902
data/raw/fleurs_subset/fr_000.wav,fr,l'accident a eu lieu en terrain montagneux et il semblerait que cela ait été causé par un incendie malveillant, L'accident a eu lieu en terrain montagneux et il semblerait que cela a été causé par un incendie malveillant.,1.1335524219999795
data/raw/fleurs_subset/fr_001.wav,fr,nous sommes d'accord avec la déclaration de l'usoc comité olympique des états-unis selon laquelle les intérêts de nos athlètes et de nos clubs ainsi que de leur sport pourraient être mieux servis. cela peut être fait en allant de l'avant et en procédant plutôt à des changements significatifs au sein de notre organisation qu'à la révocation d'accréditation," Nous sommes d'accord avec la déclaration de l'USOC, comité olympique des États-Unis, selon laquelle les intérêts de nos athlètes et de nos clubs ainsi que de leur sport pour t'être mieux servis. Cela peut être fait en allant de l'avant et en procédant plutôt à des changements significatifs au sein de notre organisation qu'à la révocation d'accréditation.",2.663512376000085
data/raw/fleurs_subset/fr_002.wav,fr,il a ajouté qu’« on ne devrait cependant pas leur demander d’assumer des obligations qui dépassent leur stade de développement leur responsabilité et leurs capacités. »," Il a ajouté qu'on ne devrait cependant pas leur demander d'assumer des obligations qui dépassent leur stade de développement, leurs responsabilités et leurs capacités.",1.2855678490000173
