audio_path	language	reference	hypothesis	latency_s
fleurs_100/en_000.wav	en	however due to the slow communication channels styles in the west could lag behind by 25 to 30 year	 However, due to the slow communication channels, styles in the West could lag behind by 25 to 30 years.	2.2482630730000324
fleurs_100/en_001.wav	en	all nouns alongside the word sie for you always begin with a capital letter even in the middle of a sentence	 All nouns alongside the word SAFE for you always begin with a capital letter even in the middle of a sentence.	0.9045855940000251
fleurs_100/en_002.wav	en	to the north and within easy reach is the romantic and fascinating town of sintra and which was made famous to foreigners after a glowing account of its splendours recorded by lord byron	 To the north and within easy reach is the romantic and fascinating town of Sintra and which was made famous to foreigners after a glowing account of its splendors recorded by Lord Byron.	1.2649623870000255
fleurs_100/en_003.wav	en	the cabbage juice changes color depending on how acidic or basic alkaline the chemical is	 The Cabbage Juice changes color depending on how acidic, basic, alkaline the chemical is.	0.8109538549999797
fleurs_100/en_004.wav	en	many people don't think about them as dinosaurs because they have feathers and can fly	 Many people don't think about them as dinosaurs because they have feathers and can fly.	0.9221297019999497
fleurs_100/en_005.wav	en	the hospital has followed protocol for infection control including separating the patient from others to prevent possible infection of others	 The hospital has followed protocol for infection control including separating the patient from others to prevent possible infection of others.	1.0287993910000068
fleurs_100/en_006.wav	en	the northern marianas emergency management office said that there were no damages reported in the nation	 The Northern Marianas Emergency Management Office said that there were no damages reported in the nation.	0.9651227530000028
fleurs_100/en_007.wav	en	twentieth century research has shown that there are two pools of genetic variation hidden and expressed	 20th century research has shown that there are two pools of genetic variation hidden and expressed.	0.7896600469999839
fleurs_100/en_008.wav	en	the aspect ratio of this format dividing by twelve to obtain the simplest whole-number ratio is therefore said to be 3:2	 The aspect ratio of this format, dividing by 12 to obtain the simplest whole number ratio, is therefore set to be 3 to 2.	1.017730892999964
fleurs_100/en_009.wav	en	as light pollution in their heyday was not the kind of problem it is today they are usually located in cities or at campuses easier to reach than those built in modern times	 As light pollution in their heyday was not the kind of problem it is today, they are usually located in cities or at campuses easier to reach than those built in modern times.	1.2246548609999763
fleurs_100/en_010.wav	en	through the night between 150 and 200 copies were made now known as dunlap broadsides	 For the night between 150 and 200 copies were made now known as Dunlap broadsides.	0.8522524499999804
fleurs_100/en_011.wav	en	for example each year students from bennet school in north carolina design a website about their trip to the state capital each year the website gets remodeled but old versions are kept online to serve as a scrapbook	 For example, each year students from Bennett School in North Carolina design a website about their trip to the state capitol. Each year the website gets remodeled, but old versions are kept online to serve as a scrapbook.	1.5150073579999912
fleurs_100/en_012.wav	en	lion prides act much like packs of wolves or dogs animals surprisingly similar to lions but not other big cats in behavior and also very deadly to their prey	 Lion Pryes acts much like packs of wolves or dogs, animals surprisingly similar to lions but not other big cats in behavior and also very deadly to their prey.	1.1765108769999983
fleurs_100/en_013.wav	en	the city is also the base to climb the nyiragongo volcano along with some of the cheapest mountain gorilla tracking in africa	 The city is also the base to climb the Nyirai-Gongo volcano along with some of the cheapest mountain gorilla trafficking in Africa.	1.0738110780000056
fleurs_100/en_014.wav	en	the internet combines elements of both mass and interpersonal communication	 The internet combines elements of both mass and interpersonal communication.	0.6342569770000068
fleurs_100/en_015.wav	en	these theories look at what it is about certain people that make them want the things that they do and what things in their environment will make them do or not do certain things	 These videos look at what it is about certain people that make them want the things that they do and what things in their environment will make them do or not do certain things.	1.1806579020000072
fleurs_100/en_016.wav	en	for example the most common still image photography format in the world is 35mm which was the dominant film size at the close of the analog film era	 For example, the most common still image photography format in the world is 35mm, which was the dominant film size at the close of the analog film era.	1.3837325189999774
